"No.","Time","Source","Destination","Protocol","Length","Info","Channel","Signal Strength","TCP Payload Size","Packet Size"
"1","0.000000","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=32 TSval=348687409 TSecr=97734338","","","32","98"
"2","0.000006","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=1 Ack=33 Win=3666 Len=0 TSval=97741279 TSecr=348687409","","","0","66"
"3","0.000031","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=33 Ack=1 Win=501 Len=1 TSval=348687409 TSecr=97741279","","","1","67"
"4","0.000033","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=1 Ack=34 Win=3666 Len=0 TSval=97741279 TSecr=348687409","","","0","66"
"5","0.000041","172.16.254.2","172.16.254.4","TCP","364","30303  >  50700 [PSH, ACK] Seq=34 Ack=1 Win=501 Len=298 TSval=348687409 TSecr=97741279","","","298","364"
"6","0.000042","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=1 Ack=332 Win=3666 Len=0 TSval=97741279 TSecr=348687409","","","0","66"
"7","0.000058","172.16.254.2","172.16.254.4","TCP","71","30303  >  50700 [PSH, ACK] Seq=332 Ack=1 Win=501 Len=5 TSval=348687409 TSecr=97741279","","","5","71"
"8","0.000060","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=1 Ack=337 Win=3666 Len=0 TSval=97741279 TSecr=348687409","","","0","66"
"9","0.000074","172.16.254.2","172.16.254.4","TCP","82","30303  >  50700 [PSH, ACK] Seq=337 Ack=1 Win=501 Len=16 TSval=348687409 TSecr=97741279","","","16","82"
"10","0.000076","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=1 Ack=353 Win=3666 Len=0 TSval=97741279 TSecr=348687409","","","0","66"
"11","0.088094","172.16.254.1","172.16.254.4","TCP","74","41462  >  8545 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=2834206085 TSecr=0 WS=128","","","0","74"
"12","0.088176","172.16.254.4","172.16.254.1","TCP","74","8545  >  41462 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1035282148 TSecr=2834206085 WS=128","","","0","74"
"13","0.088208","172.16.254.1","172.16.254.4","TCP","66","41462  >  8545 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2834206085 TSecr=1035282148","","","0","66"
"14","0.088540","172.16.254.1","172.16.254.4","HTTP/JSON","280","POST / HTTP/1.1 , JSON (application/json)","","","214","280"
"15","0.088554","172.16.254.4","172.16.254.1","TCP","66","8545  >  41462 [ACK] Seq=1 Ack=215 Win=65024 Len=0 TSval=1035282149 TSecr=2834206086","","","0","66"
"16","0.089414","172.16.254.4","172.16.254.1","HTTP/JSON","854","HTTP/1.1 200 OK , JSON (application/json)","","","788","854"
"17","0.089437","172.16.254.1","172.16.254.4","TCP","66","41462  >  8545 [ACK] Seq=215 Ack=789 Win=64768 Len=0 TSval=2834206087 TSecr=1035282150","","","0","66"
"18","0.089957","172.16.254.1","172.16.254.4","TCP","66","41462  >  8545 [FIN, ACK] Seq=215 Ack=789 Win=65536 Len=0 TSval=2834206087 TSecr=1035282150","","","0","66"
"19","0.090044","172.16.254.4","172.16.254.1","TCP","66","8545  >  41462 [FIN, ACK] Seq=789 Ack=216 Win=65024 Len=0 TSval=1035282150 TSecr=2834206087","","","0","66"
"20","0.090063","172.16.254.1","172.16.254.4","TCP","66","41462  >  8545 [ACK] Seq=216 Ack=790 Win=65536 Len=0 TSval=2834206087 TSecr=1035282150","","","0","66"
"21","4.070003","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=353 Ack=1 Win=501 Len=32 TSval=348691479 TSecr=97741279","","","32","98"
"22","4.070013","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=1 Ack=385 Win=3666 Len=0 TSval=97745349 TSecr=348691479","","","0","66"
"23","4.070039","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=385 Ack=1 Win=501 Len=1 TSval=348691479 TSecr=97745349","","","1","67"
"24","4.070041","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=1 Ack=386 Win=3666 Len=0 TSval=97745349 TSecr=348691479","","","0","66"
"25","4.070059","172.16.254.2","172.16.254.4","TCP","364","30303  >  50700 [PSH, ACK] Seq=386 Ack=1 Win=501 Len=298 TSval=348691479 TSecr=97745349","","","298","364"
"26","4.070061","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=1 Ack=684 Win=3666 Len=0 TSval=97745349 TSecr=348691479","","","0","66"
"27","4.070072","172.16.254.2","172.16.254.4","TCP","71","30303  >  50700 [PSH, ACK] Seq=684 Ack=1 Win=501 Len=5 TSval=348691479 TSecr=97745349","","","5","71"
"28","4.070074","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=1 Ack=689 Win=3666 Len=0 TSval=97745349 TSecr=348691479","","","0","66"
"29","4.070084","172.16.254.2","172.16.254.4","TCP","82","30303  >  50700 [PSH, ACK] Seq=689 Ack=1 Win=501 Len=16 TSval=348691479 TSecr=97745349","","","16","82"
"30","4.070085","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=1 Ack=705 Win=3666 Len=0 TSval=97745349 TSecr=348691479","","","0","66"
"31","5.331262","02:42:ac:10:fe:04","02:42:c6:f9:e8:e7","ARP","42","Who has 172.16.254.1? Tell 172.16.254.4","","","","42"
"32","5.331303","02:42:c6:f9:e8:e7","02:42:ac:10:fe:04","ARP","42","Who has 172.16.254.4? Tell 172.16.254.1","","","","42"
"33","5.331305","02:42:ac:10:fe:04","02:42:c6:f9:e8:e7","ARP","42","172.16.254.4 is at 02:42:ac:10:fe:04","","","","42"
"34","5.331306","02:42:c6:f9:e8:e7","02:42:ac:10:fe:04","ARP","42","172.16.254.1 is at 02:42:c6:f9:e8:e7","","","","42"
"35","6.990239","172.16.254.1","172.16.254.4","TCP","74","41476  >  8545 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=2834212988 TSecr=0 WS=128","","","0","74"
"36","6.990280","172.16.254.4","172.16.254.1","TCP","74","8545  >  41476 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1035289051 TSecr=2834212988 WS=128","","","0","74"
"37","6.990296","172.16.254.1","172.16.254.4","TCP","66","41476  >  8545 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2834212988 TSecr=1035289051","","","0","66"
"38","6.990434","172.16.254.1","172.16.254.4","HTTP/JSON","284","POST / HTTP/1.1 , JSON (application/json)","","","218","284"
"39","6.990439","172.16.254.4","172.16.254.1","TCP","66","8545  >  41476 [ACK] Seq=1 Ack=219 Win=65024 Len=0 TSval=1035289051 TSecr=2834212988","","","0","66"
"40","6.990743","172.16.254.4","172.16.254.1","HTTP/JSON","230","HTTP/1.1 200 OK , JSON (application/json)","","","164","230"
"41","6.990759","172.16.254.1","172.16.254.4","TCP","66","41476  >  8545 [ACK] Seq=219 Ack=165 Win=65408 Len=0 TSval=2834212988 TSecr=1035289051","","","0","66"
"42","6.991260","172.16.254.1","172.16.254.4","TCP","66","41476  >  8545 [FIN, ACK] Seq=219 Ack=165 Win=65536 Len=0 TSval=2834212989 TSecr=1035289051","","","0","66"
"43","6.991343","172.16.254.4","172.16.254.1","TCP","66","8545  >  41476 [FIN, ACK] Seq=165 Ack=220 Win=65024 Len=0 TSval=1035289052 TSecr=2834212989","","","0","66"
"44","6.991360","172.16.254.1","172.16.254.4","TCP","66","41476  >  8545 [ACK] Seq=220 Ack=166 Win=65536 Len=0 TSval=2834212989 TSecr=1035289052","","","0","66"
"45","7.144658","172.16.254.4","172.16.254.2","TCP","98","50700  >  30303 [PSH, ACK] Seq=1 Ack=705 Win=3666 Len=32 TSval=97748424 TSecr=348691479","","","32","98"
"46","7.144694","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=705 Ack=33 Win=501 Len=0 TSval=348694554 TSecr=97748424","","","0","66"
"47","7.144705","172.16.254.4","172.16.254.2","TCP","67","50700  >  30303 [PSH, ACK] Seq=33 Ack=705 Win=3666 Len=1 TSval=97748424 TSecr=348694554","","","1","67"
"48","7.144712","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=705 Ack=34 Win=501 Len=0 TSval=348694554 TSecr=97748424","","","0","66"
"49","7.144717","172.16.254.4","172.16.254.2","TCP","69","50700  >  30303 [PSH, ACK] Seq=34 Ack=705 Win=3666 Len=3 TSval=97748424 TSecr=348694554","","","3","69"
"50","7.144721","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=705 Ack=37 Win=501 Len=0 TSval=348694554 TSecr=97748424","","","0","66"
"51","7.144726","172.16.254.4","172.16.254.2","TCP","78","50700  >  30303 [PSH, ACK] Seq=37 Ack=705 Win=3666 Len=12 TSval=97748424 TSecr=348694554","","","12","78"
"52","7.144730","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=705 Ack=49 Win=501 Len=0 TSval=348694554 TSecr=97748424","","","0","66"
"53","7.144737","172.16.254.4","172.16.254.2","TCP","82","50700  >  30303 [PSH, ACK] Seq=49 Ack=705 Win=3666 Len=16 TSval=97748424 TSecr=348694554","","","16","82"
"54","7.144742","172.16.254.2","172.16.254.4","TCP","66","30303  >  50700 [ACK] Seq=705 Ack=65 Win=501 Len=0 TSval=348694554 TSecr=97748424","","","0","66"
"55","7.144889","172.16.254.2","172.16.254.4","TCP","98","30303  >  50700 [PSH, ACK] Seq=705 Ack=65 Win=501 Len=32 TSval=348694554 TSecr=97748424","","","32","98"
"56","7.144892","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=737 Win=3666 Len=0 TSval=97748424 TSecr=348694554","","","0","66"
"57","7.146211","172.16.254.2","172.16.254.4","TCP","67","30303  >  50700 [PSH, ACK] Seq=737 Ack=65 Win=501 Len=1 TSval=348694556 TSecr=97748424","","","1","67"
"58","7.146229","172.16.254.4","172.16.254.2","TCP","66","50700  >  30303 [ACK] Seq=65 Ack=738 Win=3666 Len=0 TSval=97748426 TSecr=348694556","","","0","66"
"59","7.146290","172.16.254.2","172.16.254.4","TCP","69","30303  >  50700 [PSH, ACK] Seq=738 Ack=65 Win=501 Len=3 TSval=348694556 TSecr=97748426","","","3","69"
